City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
208,Katobu,ID,79.18,overcast clouds,-4.9408,122.5276,La Ode Husein
209,Changde,CN,79.38,clear sky,29.0464,111.6783,Kangshida Hotel
217,Sao Benedito Do Rio Preto,BR,76.44,broken clouds,-3.3336,-43.5283,João de Barro Hotel
223,Port Blair,IN,81.5,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
226,Marsh Harbour,BS,83.37,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
233,Azua,DO,79.68,few clouds,18.4532,-70.7349,Cabañas Sexy Home
238,The Valley,AI,82.09,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
239,Labuhan,ID,76.69,broken clouds,-6.8844,112.2051,DoubleFAG
243,Zhucheng,CN,78.84,overcast clouds,35.9947,119.3975,Fanrong Hotel
244,Chakia,IN,81.12,overcast clouds,26.4167,85.05,Adarsh home 🏠
251,Latehar,IN,77.88,broken clouds,23.75,84.5,Hotel Raj
255,Kamena Vourla,GR,83.07,clear sky,38.7784,22.7857,Akti Hotel
257,San Pedro,PH,82.31,overcast clouds,14.35,121.0167,Palines Apartment and Guesthouse
259,Iracoubo,GF,79.14,broken clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
260,Pine Bluff,US,76.95,few clouds,34.2284,-92.0032,"Holiday Inn Express & Suites Pine Bluff, an IHG Hotel"
263,Peace River,CA,76.46,overcast clouds,56.2501,-117.286,BCMInns - Peace River
266,Tongzhou,CN,77.11,scattered clouds,39.9053,116.5994,Inner Mongolia Hotel
268,Puri,IN,81.12,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
270,Taitung,TW,86.27,few clouds,22.7583,121.1444,Taitung Bali Suites Hotel
273,Vanimo,PG,81.05,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
274,Buala,SB,84.92,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
275,Tautira,PF,77.77,light rain,-17.7333,-149.15,Pension Oaoa
276,Salalah,OM,75.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
277,Hasaki,JP,84.6,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
278,Tevaitoa,PF,78.91,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
283,Oranjestad,AW,80.91,overcast clouds,12.524,-70.027,Divi Village Golf & Beach Resort
284,Sur,OM,82.17,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
287,Sao Filipe,CV,77.41,overcast clouds,14.8961,-24.4956,Hotel Xaguate
292,Magaria,NE,83.59,scattered clouds,12.9983,8.9099,Chez Honorable Chapiou
295,Kieta,PG,83.75,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
297,Tumaco,CO,76.98,light rain,1.7986,-78.8156,Unión Victoria
302,Natal,BR,75.4,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
307,Bilma,NE,89.02,few clouds,18.6853,12.9164,Expeditions Ténére voyages
308,Vila Velha,BR,76.95,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
318,Gorontalo,ID,79.07,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
322,Balkanabat,TM,83.28,scattered clouds,39.5108,54.3671,Nebitchi Hotel
323,Tsuruoka,JP,83.08,broken clouds,38.7217,139.8217,Hotel Route-Inn Tsuruoka Inter
326,Lorengau,PG,84.7,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
334,Hangu,CN,78.84,clear sky,39.2489,117.7892,Chongli Xuexiang Family Express Inn
339,Bima,ID,76.35,broken clouds,-8.4667,118.7167,Lambitu Hotel
342,Saint-Georges,GD,79.43,clear sky,12.0564,-61.7485,Radisson Grenada Beach Resort
343,Mamallapuram,IN,84.25,broken clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
344,Pundaguitan,PH,83.01,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
345,San Clemente,US,89.55,scattered clouds,33.427,-117.612,Casablanca Inn
349,Gigmoto,PH,82.74,moderate rain,13.7796,124.39,Cj's Travellers Inn
351,Esna,EG,88.21,broken clouds,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
353,Hope,US,77.07,overcast clouds,33.6671,-93.5916,Best Western Hope
356,Dingle,PH,80.24,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
359,Hinton,CA,80.87,broken clouds,53.4001,-117.5857,Econo Lodge & Suites
361,Nola,IT,79.21,clear sky,40.922,14.5329,Palazzo Giordano Bruno
363,Hami,CN,84.52,broken clouds,42.8,93.45,Laoyutang Resort
364,Limbang,MY,78.91,overcast clouds,4.75,115.0,Purnama Hotel
365,Freeport,US,83.98,overcast clouds,40.6576,-73.5832,The Freeport Inn and Marina
369,Montorio Al Vomano,IT,77.95,clear sky,42.5831,13.6383,Hotel Vomano
379,Ternate,ID,81.19,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
381,Pandan,PH,83.21,overcast clouds,14.0453,124.1694,Bonifacio Lodge
382,Ahome,MX,85.95,broken clouds,25.9167,-109.1833,La quinta del diablo
383,Sao Raimundo Nonato,BR,79.61,overcast clouds,-9.0153,-42.6994,Real Hotel
385,Bathsheba,BB,80.06,broken clouds,13.2167,-59.5167,Atlantis Hotel
386,Seoul,KR,85.44,scattered clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
389,Alexandria,EG,78.87,clear sky,31.2156,29.9553,Royal Crown Hotel
394,Pontianak,ID,75.18,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
398,Sumenep,ID,79.74,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
405,Praia,CV,78.35,overcast clouds,14.9215,-23.5087,LT Aparthotel
409,Bhatkal,IN,79.79,overcast clouds,13.9667,74.5667,Nilawar Palace
412,Sibu,MY,75.99,overcast clouds,2.3,111.8167,RH HOTEL (4 Star)
413,Najran,SA,81.7,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
415,Manthani,IN,79.9,overcast clouds,18.65,79.6667,"Sri Sai bike Paint,manthani"
424,Nhulunbuy,AU,77.61,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
425,Fomboni,KM,75.54,few clouds,-12.28,43.7425,Auberge les abou
426,Vilyuysk,RU,77.04,overcast clouds,63.7553,121.6247,Gostinitsa Viliuisk
430,Eyl,SO,75.79,broken clouds,7.9803,49.8164,Amiin Hotel
432,Marsa Matruh,EG,76.39,clear sky,31.3525,27.2453,Beau Site
434,Isangel,VU,78.46,light rain,-19.55,169.2667,Tanna Lodge
435,Parit Buntar,MY,78.94,overcast clouds,5.1267,100.4932,K Garden Hotel Parit Buntar
437,Elat,IL,83.66,clear sky,29.5581,34.9482,Club Hotel Eilat
438,Cabedelo,BR,77.67,broken clouds,-6.9811,-34.8339,Pousada Camboinha
439,Faanui,PF,78.93,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
443,Cam Ranh,VN,80.56,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
445,Marrakesh,MA,84.27,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
452,Nagapattinam,IN,81.73,overcast clouds,10.7667,79.8333,Sathya Lodge
457,Payson,US,87.28,clear sky,40.0444,-111.7321,Quality Inn Payson I-15
458,Tecoanapa,MX,83.07,scattered clouds,16.5167,-98.75,Hotel Manglares
461,Goderich,CA,75.9,scattered clouds,43.7501,-81.7165,Harmony Inn
466,Ixtapa,MX,87.03,thunderstorm,20.7,-105.2,hotel la terminal
469,Alenquer,BR,79.39,few clouds,-1.9417,-54.7383,Detinha Hotel
470,Sulangan,PH,83.95,light rain,11.1373,123.7228,Maia's Beach Resort
471,Ransang,PH,82.11,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
472,Poyarkovo,RU,75.34,scattered clouds,49.6,128.6833,Gostinitsa
474,Thanh Hoa,VN,81.25,overcast clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
475,Russell,US,89.2,clear sky,32.3502,-85.1999,Macs
479,Funehiki,JP,80.74,broken clouds,37.4333,140.5833,花の湯
480,Muzaffarabad,PK,75.56,broken clouds,34.37,73.4711,Pearl Continental Muzaffarabad
482,Iwanai,JP,79.9,broken clouds,42.9744,140.5089,いわない高原ホテル
485,Zhatay,RU,75.06,smoke,62.1594,129.8294,Saydam
488,Neyshabur,IR,77.05,broken clouds,36.2133,58.7958,Amiran Hotel & Commercial Complex
489,Yicheng,CN,84.42,clear sky,31.3705,119.8703,GreenTree Alliance Wuxi Yixing Jinyizhong Road Chengbei RT-Market Hotel
490,Chino Valley,US,81.61,scattered clouds,34.7575,-112.4538,Primrose Inn & Suites
